EPDG_IPv4,Reply
79.171.50.212:500,
69.79.196.12:500,
69.79.196.12:500,proposal-sa-accepted
208.83.81.228:500,proposal-sa-accepted
131.100.108.121:500,proposal-sa-accepted
131.100.108.120:500,
186.141.175.63:500,no-proposal-chosen
186.141.132.10:500,
186.143.132.10:500,invalid-syntax
181.10.205.25:500,
181.10.205.28:500,invalid-syntax
181.10.205.24:500,invalid-syntax
181.10.205.25:500,invalid-syntax
181.10.205.24:500,invalid-syntax
185.59.68.5:500,invalid-syntax
217.76.2.165:500,invalid-syntax
217.76.2.170:500,proposal-sa-accepted
210.49.47.194:500,proposal-sa-accepted
210.49.47.193:500,
101.168.246.193:500,
149.135.226.9:500,
101.168.246.65:500,
149.135.224.24:500,
101.168.246.65:500,
149.135.226.9:500,
149.135.224.24:500,
101.168.246.193:500,
149.135.232.3:500,
149.135.226.11:500,cookie
149.135.224.26:500,cookie
149.135.233.3:500,
101.119.31.65:500,
101.119.216.1:500,
213.94.78.31:500,
213.94.78.29:500,
213.94.78.31:500,
213.94.78.29:500,
194.24.130.74:500,
194.24.130.75:500,
188.21.252.240:500,
188.21.252.241:500,
188.21.252.241:500,
188.21.252.240:500,
188.21.252.240:500,
188.21.252.241:500,
83.216.33.116:500,
83.216.32.116:500,no-proposal-chosen
213.162.90.41:500,no-proposal-chosen
213.162.90.41:500,invalid-syntax
213.162.90.41:500,invalid-syntax
5.191.10.254:500,invalid-syntax
5.191.10.253:500,
5.44.33.135:500,
5.44.32.135:500,invalid-syntax
69.79.196.12:500,proposal-sa-accepted
88.201.70.1:500,proposal-sa-accepted
116.58.207.151:500,proposal-sa-accepted
202.56.6.74:500,
202.56.6.76:500,
69.79.196.12:500,proposal-sa-accepted
128.140.255.27:500,proposal-sa-accepted
128.140.255.59:500,
128.140.255.91:500,
212.224.253.170:500,
212.224.253.168:500,
185.3.162.80:500,
185.3.163.80:500,
186.195.153.10:500,
200.169.116.53:500,
152.255.14.0:500,
152.255.2.16:500,invalid-syntax
152.255.14.0:500,
152.255.2.16:500,invalid-syntax
152.255.2.16:500,invalid-syntax
152.255.14.0:500,invalid-syntax
152.255.14.0:500,invalid-syntax
152.255.2.16:500,invalid-syntax
69.79.196.12:500,invalid-syntax
202.152.85.69:500,proposal-sa-accepted
202.152.92.101:500,proposal-sa-accepted
202.152.92.101:500,proposal-sa-accepted
202.152.85.69:500,proposal-sa-accepted
202.152.92.101:500,proposal-sa-accepted
202.152.85.69:500,proposal-sa-accepted
213.226.0.176:500,proposal-sa-accepted
213.226.0.178:500,proposal-sa-accepted
82.137.72.94:500,proposal-sa-accepted
82.137.72.96:500,proposal-sa-accepted
27.109.115.234:500,proposal-sa-accepted
117.20.114.206:500,invalid-syntax
69.158.242.2:500,invalid-syntax
69.158.207.146:500,no-proposal-chosen
209.148.157.48:500,
208.98.222.247:500,proposal-sa-accepted
209.148.157.48:500,proposal-sa-accepted
142.165.159.94:500,proposal-sa-accepted
142.165.29.158:500,no-proposal-chosen
142.165.45.158:500,no-proposal-chosen
142.165.45.45:500,no-proposal-chosen
142.165.29.245:500,no-proposal-chosen
207.219.233.33:500,private-use-error-reporting-40961
184.163.5.80:500,no-proposal-chosen
66.130.6.180:500,proposal-sa-accepted
184.162.85.128:500,proposal-sa-accepted
69.79.196.12:500,proposal-sa-accepted
200.111.238.65:500,proposal-sa-accepted
191.125.99.97:500,proposal-sa-accepted
191.126.99.97:500,
45.232.35.1:500,proposal-sa-accepted
190.13.110.250:500,invalid-syntax
190.102.205.1:500,
179.49.228.13:500,
179.49.229.13:500,invalid-syntax
212.91.113.181:500,
195.29.253.235:500,invalid-syntax
195.29.253.164:500,
